Size,MergeSort(ms),MergeInsertionSort_Threshold5(ms),MergeInsertionSort_Threshold10(ms),MergeInsertionSort_Threshold20(ms),MergeInsertionSort_Threshold30(ms),MergeInsertionSort_Threshold50(ms)
500,179.7,81.7,57.9,57.2,46.3,41.1
600,216.9,90.1,76.8,85.9,52.5,89.9
700,319.9,114.3,95,74.3,60.7,56.4
800,290.5,147.7,104.2,84.3,67.5,64.6
900,328.1,156.5,115.6,91.4,75,74.1
1000,361.7,165.7,124.6,99,98.7,81.4
1100,405.4,239.3,132,105.9,104.4,90.1
1200,443,181.6,139.4,112.4,112.3,96.5
1300,480.1,198.2,154.8,129,120.5,105.4
1400,535.1,239.9,198,156.9,131.9,115.1
1500,559.2,284.5,216.6,170.8,137.7,136
1600,599,303.6,227.7,180.8,149.8,133.9
1700,781.9,401.1,239.2,187.9,157.1,161.4
1800,668.4,322.7,241.4,190.9,164.7,158.6
1900,703.9,335.1,255.9,202.7,170.2,169.1
2000,743.8,345.1,264,211.1,211.6,177.1
2100,782.6,356.8,275.8,220.1,218.9,184.7
2200,827.2,367.3,285.9,230.9,229.4,194.3
2300,863.6,376.5,291.1,242.2,234.8,200
2400,912.8,390.2,300.5,245,269.2,207.3
2500,938.8,401.4,317.6,259.5,254.3,217.5
2600,987.8,421.3,338,280.9,270.5,225.8
2700,1029,464.6,380.6,331.8,270.8,234
2800,1073.8,503,425.3,340.8,296.2,244.6
2900,1095.9,546.5,453,357.3,293.9,253.8
3000,1133.2,587.7,457.1,368.8,308.1,259.2
3100,1180.2,628.5,468.3,398.7,310.6,266.8
3200,1218.1,637.9,473.4,377.4,312.4,271.3
3300,1274.8,669.7,509.4,410,344.3,345.3
3400,1334.3,685.2,526.5,417.4,370.1,343.3
3500,1341.8,725.2,524.6,415.5,350.3,350.3
3600,1377,688.1,524.7,419.5,349.1,349.4
3700,1422.3,695.3,533.4,431.9,360.2,360.2
3800,1480.7,713.1,546,439,391.2,382.4
3900,1491.8,726.8,555.8,451.6,413,390.6
4000,1535.7,1266.5,567.1,466.9,458.8,536
4100,1560.9,748.8,584.9,473.1,479.9,399.3
4200,1612,764.6,597.5,486,485.7,403.5
4300,1662.9,778.6,608.4,496.5,494.9,417.6
4400,2295.8,828.1,725.1,512.5,496.5,431.1
4500,1747,797.6,631.5,517.9,518.6,457.5
4600,1802.3,1298.2,963.1,524.7,783.1,454.5
4700,2220.7,1155.6,1131.6,579.8,577.8,467.6
4800,1928,904.4,701.2,873.7,831.7,458.9
4900,3272.2,882.8,1125.8,716.6,898,514.6
5000,1941.7,1169,705.3,579,819.2,474.5
5100,2162.5,904.9,709.8,894.4,615.5,610
5200,2135.7,919.3,749.3,630,573.6,499.1
5300,2056.6,940.2,788.5,674.8,585.3,505.4
5400,2117.4,976.5,814.3,729.6,594.8,518.9
5500,2149.7,1020.6,862.7,734,607.8,524.6
5600,2198.6,1099.7,1432.7,745.8,618.7,532.6
5700,2356.2,1108.2,1553.7,1260.1,851.6,567.5
5800,2263.6,1270.5,1313.8,915.7,645.3,554.1
5900,2528.5,1197.2,959.8,781.2,694.5,568.4
6000,2341.8,1244.9,983.5,803.1,733,571.1
6100,2373.6,1274.5,1017.6,797.4,675.8,575.3
6200,2413.2,1299.4,987.7,799.6,674.5,584.8
6300,2461.3,1320.2,1006,815,681.7,595.5
6400,2498.5,1331.1,1011.8,818.5,690.7,600.2
6500,2601.3,1343.7,1040.4,835.5,702.9,683.1
6600,2618.4,1379.6,1069.6,869,730.4,730.9
6700,2694.8,1394,1073.4,881.2,741.8,744.7
6800,2684.4,1445.9,1083.2,884.1,777.7,741.6
6900,2726.3,1415.1,1120.2,887.3,740.4,737.7
7000,2749.6,1412.4,1101.1,886.1,755.5,757.6
7100,2788.2,1752.8,1106.3,898.2,768.8,761.8
7200,2812.3,1436.1,1127.1,1005.9,774,772.4
7300,3585,1457.9,1126.8,920.9,779.4,778
7400,2929,1464.6,1139.4,1203.4,792.1,790.2
7500,2948.9,1482.3,1160.4,949.4,802.7,805
7600,2984.7,1526.2,1167.5,962.4,825.2,828.8
7700,3021.8,1521.3,1189.8,971.5,833.1,835.7
7800,3048.9,1568.3,1198.7,974.4,903.3,837.8
7900,3125.2,1689.4,1226,1015.9,981.9,851.5
8000,3141.4,1566.5,1259,1034.7,1048.5,879.6
8100,3171.4,1639.4,1282.8,1046.1,1049.2,884.3
8200,3211.3,1561.1,1238.3,1019.3,1033,873.9
8300,3261.2,1612.3,1286,1048.3,1066.7,892.5
8400,3301.7,1588.7,1269.1,1050.4,1036.2,895.4
8500,3338.9,1622.4,1293.2,1069,1049.3,901.5
8600,3388.6,1636.8,1286.8,1077.5,1072.3,915.2
8700,3438.3,1650,1322.5,1109.7,1089.1,928.5
8800,3479.8,1644.2,1307.9,1086.7,1082.9,942.4
8900,3550.5,1661.5,1330.7,1099.7,1102.1,939.2
9000,3566.8,1673,1352.3,1109.1,1123.1,954.6
9100,3612.7,1684.6,1347.3,1114.1,1117.5,970.5
9200,3636.4,1691.8,1354.9,1123.8,1119.1,974.6
