Size,MergeSort(ms),MergeInsertionSort_Threshold5(ms),MergeInsertionSort_Threshold10(ms),MergeInsertionSort_Threshold20(ms),MergeInsertionSort_Threshold30(ms),MergeInsertionSort_Threshold50(ms)
500,186.4,86.8,63.8,62.1,61.7,77.2
600,225.4,95,79.6,130.1,123,141.9
700,381.1,120.1,102.5,90.2,97,132.2
800,305.8,152.6,114.5,106.8,121.3,167.3
900,339,165,128.4,120.5,144.5,138.3
1000,376.7,174.3,139.8,136.1,138.7,167.1
1100,412.6,183.8,151.7,164.9,149.1,199.9
1200,483.3,192.3,163.1,170.5,167.2,216.7
1300,499.1,212.7,182.5,185.1,216.1,246.7
1400,534.9,255.1,214.3,191.8,207.7,278.1
1500,568.3,293.7,231.2,216.3,230.2,312.8
1600,609.6,317.2,251.3,224.9,252.9,353.1
1700,649,333.5,272,255.7,276.8,283.6
1800,691,343.8,266.6,251.9,295.3,323
1900,718.4,349.8,281.6,271.8,321.9,322.1
2000,758.5,365.5,297.3,289.7,290.1,356.8
2100,797,374.3,308.7,306.2,339.2,372.3
2200,843.5,447.8,323.1,323.3,323,402.8
2300,952.3,398.6,339.3,342.4,343.4,437.6
2400,928.8,411.3,352.8,379.1,359.9,458.5
2500,968.7,427.1,368.7,388,383.1,488.8
2600,1005.7,448.9,393.5,396,400.1,530
2700,1044.1,488.5,424.9,397.4,422.9,551.9
2800,1100.6,533.8,459.9,418.2,449.5,591.7
2900,1120.6,570,476.7,436.1,478,623.9
3000,1153.7,613.4,516.8,454.9,500.3,661.7
3100,1215,664.9,507.2,464.5,532.9,697.4
3200,1252.2,660.4,522.1,482.7,532.7,736.1
3300,1304.1,699.1,555.3,514.9,574,577.3
3400,1362.6,703.4,562,522.7,601,607.8
3500,1371.9,706.6,588.4,534.5,607.5,608.1
3600,1400.8,713.2,574.9,555.8,626.2,625.9
3700,1458.2,735,667.7,569.2,660.2,660.3
3800,1496.8,752,607.5,581.9,683.9,724.2
3900,1527.5,758.4,621.6,602.1,656.7,708.6
4000,1806.7,1284.5,639.4,628.6,622.9,879.4
4100,1599.9,786.4,657,646.5,642.5,770.7
4200,1841.8,799.7,672.1,666.3,663,797.3
4300,1705.2,817.5,694.8,682.7,685.8,825.6
4400,1813.1,923,769,781,702.8,865.4
4500,1782.4,842.5,709.9,723.2,763.7,947.8
4600,1843.2,1150.3,1162,741.6,757.3,1257.1
4700,2983,913.8,1041.2,1084,799.3,965.7
4800,1918.2,1340.9,796.9,1101.6,809.1,1266
4900,3054.4,993.8,1280.8,1239.3,1311,1039.8
5000,2086.2,1392.9,814.3,884.3,1015.6,1038.3
5100,2080.5,1070.6,832.4,1069.9,1171.6,1075.5
5200,2066.6,961.8,861.7,866.8,854,1136.8
5300,2091.2,1030.9,890.1,852.2,880.4,1126.3
5400,2160.9,1041.6,911.5,857.5,901.3,1164.9
5500,2200.2,1084.1,947.9,877.9,926.1,1198.3
5600,2244,1132.9,1118.7,896.2,953.6,1238.3
5700,2266.9,1169.5,1004,927,1413.9,1272
5800,2412.8,1615.2,1019.4,941.8,1008.4,1314.7
5900,2442.5,1253.8,1040,947.8,1024.9,1340.8
6000,2387.1,1304.4,1155,975.2,1053.2,1427
6100,2466.6,1350.3,1074.6,981.3,1074.2,1421.2
6200,2479.4,1367.7,1086.6,997,1095.9,1458.5
6300,2503.9,1374.3,1099.4,1019.2,1114.6,1492.5
6400,2669.7,1386.3,1112.6,1021.3,1129.4,1563.8
6500,2611.8,1409.3,1127.3,1046,1260.3,1246.3
6600,2685.7,1451.7,1163.7,1084.8,1212.1,1216.1
6700,2718.7,1458.8,1182.3,1100.4,1225.1,1230.9
6800,2759.3,1469.5,1198.6,1109.4,1248.5,1249.1
6900,3086.8,1469.3,1196.4,1112.3,1257.4,1260.2
7000,2853,1489.4,1224.4,1142.5,1292.8,1286.8
7100,2980.7,1489.5,1219.8,1146.6,1307.6,1308.3
7200,2901.2,1496.8,1231.1,1167.9,1353.4,1344
7300,3683.4,1520.9,1246.8,1189.2,1361,1363.3
7400,2957.7,1545.5,1268.5,1208.9,1466.5,1433.7
7500,3002.9,1610.1,1284.3,1235.7,1424.7,1422.9
7600,3036,1876.5,1294.5,1253.2,1452.9,1448.3
7700,3092.3,1589,1424.2,1275.7,1459.9,1484.5
7800,3158.1,1608.7,1334.1,1286.4,1410.9,1508.5
7900,3191.1,1620.8,1466.6,1415,1350.9,1552.3
8000,3221.5,1629.1,1396.9,1350.7,1357.7,1580.4
8100,3291.5,1664.4,1417.5,1433.8,1384.4,1611.3
8200,3288,1650,1388.3,1371.1,1374,1616.5
8300,3321.1,1672.1,1426.8,1401.8,1400.5,1667.1
8400,3355.9,1677.1,1422.5,1402.6,1400.4,1669.8
8500,3423.3,1701,1467.3,1440,1422,1695.9
8600,3459.6,1708.7,1455.6,1457.7,1459.5,1741.4
8700,3522.9,1742.2,1497.9,1500.3,1489.1,1762.1
8800,3556.3,1744,1489.2,1482.9,1482.5,1798.1
8900,3603.8,1764.3,1510,1520.7,1503.1,1829
9000,3638.9,1770.7,1517.9,1525.7,1533.9,1847.2
9100,3691.6,1785.3,1530.8,1542.4,1542.3,1880.4
